2023-10-22 11:45:27.846 | mainraceId | INFO  | 19844 | main | org.springframework.security.web.DefaultSecurityFilterChain.<init>(DefaultSecurityFilterChain.java:55) : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@416a4275, org.springframework.security.web.context.SecurityContextPersistenceFilter@455cbf18, org.springframework.security.web.header.HeaderWriterFilter@7198ab9a, org.springframework.web.filter.CorsFilter@7bf65e0f, org.springframework.security.web.authentication.logout.LogoutFilter@49986178, com.qingfeng.henthouse.filter.JwtAuthenticationTokenFilter@235c997d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@74ebd159, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@464400b3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33215ffb, org.springframework.security.web.session.SessionManagementFilter@59313495, org.springframework.security.web.access.ExceptionTranslationFilter@8851ec, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@24405466]
2023-10-22 11:45:27.949 | mainraceId | INFO  | 19844 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8802 (http) with context path ''
2023-10-22 11:45:27.982 | mainraceId | INFO  | 19844 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started HenthouseApplication in 10.854 seconds (JVM running for 18.569)
2023-10-22 11:46:17.886 | http-nio-8802-exec-1raceId | INFO  | 19844 | http-nio-8802-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-10-22 11:46:17.888 | http-nio-8802-exec-1raceId | INFO  | 19844 | http-nio-8802-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 2 ms
2023-10-22 11:46:17.913 | http-nio-8802-exec-2raceId | WARN  | 19844 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:46:21.030 | http-nio-8802-exec-3raceId | WARN  | 19844 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:46:35.397 | http-nio-8802-exec-7raceId | WARN  | 19844 | http-nio-8802-exec-7 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:46:42.266 | http-nio-8802-exec-10raceId | WARN  | 19844 | http-nio-8802-exec-10 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 11:46:45.881 | http-nio-8802-exec-4raceId | WARN  | 19844 | http-nio-8802-exec-4 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
